"YEAR","MONTH","DAY","STID","TMAX","TMIN","HAVG","WSMX","WSMN","RAIN","SAVG"
2016,2,28,TISH,74.16,51.49,62.73,22.64,3.04,0.00,53.52
2016,2,28,TULN,74.93,50.45,48.35,23.78,1.90,0.00,51.11
2016,2,29,ALTU,76.24,39.46,59.36,19.84,0.08,0.00,52.81
2016,2,29,BEAV,77.88,31.08,37.54,28.39,0.20,0.00,49.10
2016,2,29,NRMN,75.07,41.83,51.16,26.06,0.00,0.41,51.41
2016,2,29,TISH,74.05,42.85,61.75,18.39,2.16,0.00,54.38
2016,2,29,TULN,74.21,38.10,46.17,19.86,0.00,0.00,50.70
2016,3,1,ALTU,64.42,43.81,52.51,38.27,0.17,0.00,54.09
2016,3,1,BEAV,60.40,30.36,42.36,24.54,1.77,0.00,50.15
2016,3,1,NRMN,57.92,39.31,59.32,22.37,0.32,0.00,53.08
2016,3,1,TISH,63.43,37.91,57.74,24.16,1.74,0.00,56.42
2016,3,1,TULN,59.32,40.83,55.43,16.01,0.00,0.35,51.89
2016,3,2,ALTU,75.06,43.71,51.27,28.14,3.50,0.00,52.62
2016,3,2,BEAV,76.93,36.04,40.46,28.86,0.32,0.00,50.33
2016,3,2,NRMN,67.62,40.09,50.22,23.22,2.14,0.11,50.60
2016,3,2,TISH,66.67,33.14,54.45,23.64,0.00,0.00,51.31
2016,3,2,TULN,66.11,35.68,42.40,19.89,1.04,0.00,49.81
2016,3,3,ALTU,69.64,39.59,52.15,26.08,1.09,0.00,53.25
2016,3,3,BEAV,64.31,34.29,47.22,18.88,0.76,0.00,50.66
2016,3,3,NRMN,63.61,40.74,61.29,25.61,0.00,0.00,51.45
2016,3,3,TISH,65.77,38.33,54.58,24.87,1.57,0.00,53.59
2016,3,3,TULN,64.47,44.25,46.79,20.83,0.00,0.00,50.29
2016,3,4,ALTU,73.00,35.75,57.45,22.19,1.40,0.00,52.23
2016,3,4,BEAV,73.26,37.83,32.81,28.27,1.75,0.00,51.05
2016,3,4,NRMN,71.40,35.97,52.22,15.52,0.00,0.00,50.58
2016,3,4,TISH,69.42,33.20,55.93,14.82,0.00,0.00,52.68
2016,3,4,TULN,71.73,37.01,45.76,13.63,0.00,0.00,50.01
2016,3,5,ALTU,74.30,42.37,57.78,17.17,6.57,0.00,53.47
2016,3,5,BEAV,72.09,27.24,48.03,20.94,1.43,0.00,51.53
2016,3,5,NRMN,74.66,38.47,48.79,13.64,0.17,0.00,52.01
