"YEAR","MONTH","DAY","STID","TMAX","TMIN"
2016,3,10,TISH,62.98,56.62
2016,3,10,TULN,65.07,51.69
2016,3,10,WOOD,69.93,41.02
2016,3,11,ARD2,59.86,53.96
2016,3,11,BEAV,71.04,28.62
2016,3,11,BOIS,68.41,26.94
2016,3,11,CENT,59.77,52.25
2016,3,11,NRMN,65.97,49.68
2016,3,11,STIL,67.87,42.87
2016,3,11,TISH,58.55,52.41
2016,3,11,TULN,64.22,45.76
2016,3,11,WOOD,68.74,34.12
2016,3,12,ARD2,-996.00,-996.00
2016,3,12,BEAV,61.39,40.10
2016,3,12,BOIS,69.53,27.72
2016,3,12,CENT,65.98,53.46
2016,3,12,NRMN,66.15,53.80
2016,3,12,STIL,67.98,53.62
2016,3,12,TISH,65.97,55.33
2016,3,12,TULN,66.56,53.29
2016,3,12,WOOD,64.24,50.31
2016,3,13,ARD2,-996.00,-996.00
2016,3,13,BEAV,74.88,40.88
2016,3,13,BOIS,70.90,41.09
2016,3,13,CENT,72.97,49.89
2016,3,13,NRMN,67.53,50.34
2016,3,13,STIL,61.54,46.56
2016,3,13,TISH,71.55,50.90
2016,3,13,TULN,69.42,50.36
2016,3,13,WOOD,69.28,50.20
2016,3,14,ARD2,81.48,46.81
2016,3,14,BEAV,84.09,31.33
2016,3,14,BOIS,77.40,33.78
2016,3,14,CENT,82.35,44.77
2016,3,14,NRMN,82.45,47.17
2016,3,14,STIL,83.14,43.58
2016,3,14,TISH,80.22,44.99
2016,3,14,TULN,-996.00,-996.00
2016,3,14,WOOD,82.63,45.80
2016,3,15,ARD2,75.18,52.52
2016,3,15,BEAV,63.34,33.65
2016,3,15,BOIS,59.63,30.19
2016,3,15,CENT,77.22,44.41
2016,3,15,NRMN,72.14,49.35
2016,3,15,STIL,70.52,42.56
2016,3,15,TISH,76.01,50.09
2016,3,15,TULN,74.17,51.19
2016,3,15,WOOD,66.72,42.68
2016,3,16,ARD2,72.97,43.45
2016,3,16,BEAV,62.26,23.58
2016,3,16,BOIS,55.90,25.56
2016,3,16,CENT,72.09,37.04
2016,3,16,NRMN,69.64,36.90
2016,3,16,STIL,62.94,35.79
2016,3,16,TISH,71.42,44.01
2016,3,16,TULN,66.04,43.55
2016,3,16,WOOD,64.04,33.19
2016,3,17,ARD2,58.66,49.53
2016,3,17,BEAV,68.94,24.27
2016,3,17,BOIS,65.39,21.15
2016,3,17,CENT,66.65,49.59
2016,3,17,NRMN,69.89,48.74
2016,3,17,STIL,68.85,38.17
2016,3,17,TISH,62.62,48.96
2016,3,17,TULN,70.97,41.67
2016,3,17,WOOD,67.24,38.55
2016,3,18,ARD2,55.29,39.64
2016,3,18,BEAV,44.05,22.95
2016,3,18,BOIS,35.99,27.52
2016,3,18,CENT,57.85,39.29
2016,3,18,NRMN,56.28,37.73
2016,3,18,STIL,54.63,36.45
2016,3,18,TISH,55.78,38.72
2016,3,18,TULN,57.83,40.19
2016,3,18,WOOD,47.46,29.53
2016,3,19,ARD2,57.42,35.76
2016,3,19,BEAV,51.22,19.32
2016,3,19,BOIS,42.94,14.20
2016,3,19,CENT,57.90,35.23
